sentence,sentiment,topic,processed_text
môn học khá khó .,0,general,môn_học khá khó
"thầy nhiệt tình trong quá trình giảng dạy , có thêm video cho học sinh về tự học thêm .",2,general,thầy nhiệt_tình trong quá_trình giảng_dạy có thêm video cho học_sinh về tự học thêm
"cô giải nhiều bài tập , dạy dễ hiểu .",2,general,cô giải nhiều bài_tập dạy dễ hiểu
cô giúp cho tụi em xác định được mục tiêu và mong muốn đạt được khi học môn học này .,2,general,cô giúp cho tụi em xác_định được mục_tiêu và mong_muốn đạt được khi học môn_học này
"giảng viên tận tâm , nhiệt tình với học sinh .",2,general,giảng_viên tận_tâm nhiệt_tình với học_sinh
theo quan điểm của em về các môn học chuyên ngành của sinh viên thì nhà trường không nên bắt buộc sinh viên phải thi học kỳ để lấy điểm số .,0,general,theo quan_điểm của em về các môn_học chuyên_ngành của sinh_viên thì nhà_trường không nên bắt_buộc sinh_viên phải thi học_kỳ để lấy điểm_số
em cảm ơn .,1,general,em cảm_ơn
em cám ơn .,1,general,em cám_ơn
"thầy nên chia nhóm theo ngành , để các bạn có thể trả lời những câu hỏi sâu về ngành mình đang thuyết trình , ngành mình đang học .",0,general,thầy nên chia nhóm theo ngành để các bạn có_thể trả_lời những câu hỏi sâu về ngành mình đang thuyết_trình ngành mình đang học
"luôn dạy quá giờ ( khoảng 30 phút ) , ảnh hưởng đến giờ trưa của sinh viên và truyền đạt không được thu hút .",0,general,luôn dạy quá giờ khoảng 30 phút ảnh_hưởng đến giờ trưa của sinh_viên và truyền_đạt không được thu_hút
giảng viên cần nhiệt tình hơn trong công tác giảng dạy .,0,general,giảng_viên cần nhiệt_tình hơn trong công_tác giảng_dạy
thầy dạy rất tận tâm và nhiệt tình !,2,general,thầy dạy rất tận_tâm và nhiệt_tình
"nhiệt tình giúp đỡ , cho nhiều bài tập hữu ích và thực tiễn cao .",2,general,nhiệt_tình giúp_đỡ cho nhiều bài_tập hữu_ích và thực_tiễn cao
giảng viên khó có thể truyền đạt hết kiến thức .,0,general,giảng_viên khó có_thể truyền_đạt hết kiến_thức
"nội dung thầy giảng mang tính cập nhật , có nhiều nội dung hay .",2,general,nội_dung thầy giảng mang tính cập_nhật có nhiều nội_dung hay
"tiết học rất thoải mái , dễ tiếp thu .",2,general,tiết học rất thoải_mái dễ tiếp_thu
gửi mail không trả lời .,0,general,gửi mail không trả_lời
thầy cần hướng dẫn các bạn làm bài tập khi mới bắt đầu thực hành vì các phần mềm dùng thực hành có mới với các bạn sinh viên .,0,general,thầy cần hướng_dẫn các bạn làm bài_tập khi mới bắt_đầu thực_hành vì các phần_mềm dùng thực_hành có mới với các bạn sinh_viên
"thầy dạy rất ổn , bổ sung vững kiến thức lý thuyết .",2,general,thầy dạy rất ổn bổ_sung vững kiến_thức lý_thuyết
"chất lượng giảng dạy tốt , em rất hài lòng với cách dạy của cô .",2,general,chất_lượng giảng_dạy tốt em rất hài_lòng với cách dạy của cô
giảng viên tích cực .,2,general,giảng_viên tích_cực
"thầy vui tính , dạy hay , đầy đủ kiến thức để thi .",2,general,thầy vui tính dạy hay đầy_đủ kiến_thức để thi
thường xuyên hỗ trợ sinh viên qua diễn đàn .,2,general,thường_xuyên hỗ_trợ sinh_viên qua diễn_đàn
"slide khá nhiều chữ khiến sinh viên hơi buồn ngủ , ít hình ảnh , ví dụ minh họa .",0,general,slide khá nhiều chữ khiến sinh_viên hơi buồn_ngủ ít hình_ảnh ví_dụ minh họa
dạy và ôn tập tận tình .,2,general,dạy và ôn_tập tận_tình
giáo trình môn học nên cập nhật thường xuyên .,0,general,giáo_trình môn_học nên cập_nhật thường_xuyên
"tận tình , giảng dạy dễ hiểu , vui vẻ .",2,general,tận_tình giảng_dạy dễ hiểu vui_vẻ
thầy giảng rất tận tâm .,2,general,thầy giảng rất tận_tâm
"tận tình , cung cấp thông tin và giải đáp thắc mắc tốt .",2,general,tận_tình cung_cấp thông_tin và giải_đáp thắc_mắc tốt
bù lại cách chấm điểm sẽ đặt nặng phần hiểu vấn đề hơn như thầy wzjwz119 đã từng trình bày .,0,general,bù lại cách chấm_điểm sẽ đặt nặng phần hiểu vấn_đề hơn như thầy wzjwz119 đã từng trình_bày
giáo viên nhiệt tình vui tính .,2,general,giáo_viên nhiệt_tình vui_tính
cách truyền đạt qua lời nói khó hiểu .,0,general,cách truyền_đạt qua lời_nói khó hiểu
"phòng học được trang bị tốt hơn , đảm bảo tốt cho công tác giảng dạy .",1,general,phòng học được trang_bị tốt hơn đảm_bảo tốt cho công_tác giảng_dạy
"chuyên môn sâu , nhiệt tình , hiệu quả trong giảng dạy , vui tính , dễ hiểu .",2,general,chuyên_môn sâu nhiệt_tình hiệu_quả trong giảng_dạy vui_tính dễ hiểu
"vui tính , dạy dễ hiểu .",2,general,vui tính dạy dễ hiểu
"giảng bài cụ thể , chi tiết .",2,general,giảng bài cụ_thể chi_tiết
"hình thức 2 cần có sự phân bố thời gian gặp sinh viên hợp lý , không thể để cuối kỳ , gặp rồi cho đồ án liên tục , ảnh hưởng đến việc ôn tập cho kỳ thi cuối kỳ của sinh viên .",0,general,hình_thức 2 cần có sự phân_bố thời_gian gặp sinh_viên hợp_lý không_thể để cuối kỳ gặp rồi cho đồ_án liên_tục ảnh_hưởng đến việc ôn_tập cho kỳ thi cuối kỳ của sinh_viên
cô dễ thương quá em nhìn cô nhiều hơn nhìn code cô viết colonsmallsmile !,0,general,cô dễ_thương quá em nhìn cô nhiều hơn nhìn code cô viết colonsmallsmile
thầy dạy tốt nhưng cần giảng mẫu cho sinh viên nắm bắt trước khi giao bài tập về nhà .,2,general,thầy dạy tốt nhưng cần giảng_mẫu cho sinh_viên nắm_bắt trước khi giao bài_tập về nhà
em biết là cô rất buồn vì chúng em không chú tâm tới môn học của cô .,0,general,em biết là cô rất buồn vì chúng_em không chú_tâm tới môn_học của cô
giảng viên dạy tốt .,2,general,giảng_viên dạy tốt
"kiến thức giảng hơi khó hiểu , nhưng giải bài tập hay hướng dẫn sinh viên làm bài thì dễ hiểu và còn tận tình chỉ bảo cho sinh viên những gì không biết , cô có thể nói lại , giảng lại một vấn đề vài lần nếu sinh viên vẫn chưa hiểu !",2,general,kiến_thức giảng_hơi khó hiểu nhưng giải bài_tập hay hướng_dẫn sinh_viên làm bài thì dễ hiểu và còn tận_tình chỉ_bảo cho sinh_viên những gì không biết cô có_thể nói lại giảng lại một vấn_đề vài lần nếu sinh_viên vẫn chưa hiểu
dạy đúng theo giáo trình .,2,general,dạy đúng theo giáo_trình
"mong giảng viên chủ động trong việc truyền đạt kiến thức hơn , tránh trường hợp đợi hỏi mới trả lời , vì sinh viên làm sao biết cái mình cần hỏi đề hỏi khi lực học mới chỉ ở mức trung bình .",0,general,mong giảng_viên chủ_động trong việc truyền_đạt kiến_thức hơn tránh trường_hợp đợi hỏi mới trả_lời vì sinh_viên làm_sao biết cái mình cần hỏi đề_hỏi khi lực học mới chỉ ở mức trung_bình
cần giảng dạy kỹ phần trigger các từ cơ bản vì tìm kiếm trên mạng tương đối khó khăn dù chúng tương đương lập trình cơ bản .,0,general,cần giảng_dạy kỹ phần trigger các từ cơ_bản vì tìm_kiếm trên mạng tương_đối khó_khăn dù chúng tương_đương lập_trình cơ_bản
"thầy nhiệt tình , giảng kỹ , tận tâm với sinh viên .",2,general,thầy nhiệt_tình giảng_kỹ tận_tâm với sinh_viên
"giảng viên cần có kỹ năng sư phạm , truyền đạt nội dung môn học , thái độ nhiệt tình hơn .",0,general,giảng_viên cần có kỹ_năng sư_phạm truyền_đạt nội_dung môn_học thái_độ nhiệt_tình hơn
"sản phẩm mình làm ra , đem người khác báo cáo thì không được hợp lý .",0,general,sản_phẩm mình làm ra đem người khác báo_cáo thì không được hợp_lý
"thầy giảng hay , nhiệt tình .",2,general,thầy giảng hay nhiệt_tình
"giảng dạy dễ hiểu , nhiệt tình .",2,general,giảng_dạy dễ hiểu nhiệt_tình
"giảng viên tận tâm , nhiệt tình , phương pháp giảng dạy của giảng viên giúp hiểu được và vận dụng được kiến thức .",2,general,giảng_viên tận_tâm nhiệt_tình phương_pháp giảng_dạy của giảng_viên giúp hiểu được và vận_dụng được kiến_thức
"giảng viên giảng dạy nhiệt tình , bám sát chương trình .",2,general,giảng_viên giảng_dạy nhiệt_tình bám sát chương_trình
dạy ít về phần code .,0,general,dạy ít về phần code
thầy không công bằng trong đánh giá .,0,general,thầy không công_bằng trong đánh_giá
"giáo viên giảng dạy đầy đủ kiến thức , dễ tiếp thu , nhiệt tình giảng dạy .",2,general,giáo_viên giảng_dạy đầy_đủ kiến_thức dễ tiếp_thu nhiệt_tình giảng_dạy
"thầy đi rất đúng giờ , giảng dạy rất nhiệt tình !",2,general,thầy đi rất đúng giờ giảng_dạy rất nhiệt_tình
mà hơn nữa ngủ ở lớp học còn rất dễ bị đau lưng .,0,general,mà hơn_nữa ngủ ở lớp_học còn rất dễ bị đau lưng
"thầy rất hay liên hệ nhưng thứ học được ra thực tế , như những ứng dụng của các linh kiện , vdotv .",2,general,thầy rất hay liên_hệ nhưng thứ học được ra thực_tế như những ứng_dụng của các linh_kiện vdotv
thầy thường vào lớp trễ .,0,general,thầy thường vào lớp trễ
"thầy dạy dễ hiểu , hướng dẫn chi tiết .",2,general,thầy dạy dễ hiểu hướng_dẫn chi_tiết
giảng viên đến khá trễ .,0,general,giảng_viên đến khá trễ
"thầy dạy phần hai có phần hơi khó khăn trong việc điểm danh , cả khi thầy có nhầm lẫn thầy cũng không chịu nhận .",0,general,thầy dạy phần hai có phần hơi khó_khăn trong việc điểm_danh cả khi thầy có nhầm_lẫn thầy cũng không chịu nhận
giảng dạy còn nhiều thiết sót .,0,general,giảng_dạy còn nhiều thiết_sót
một môn học rất hay .,2,general,một môn_học rất hay
thầy tận tâm .,2,general,thầy tận tâm
"các thiết bị giảng dạy môn học có thể không đảm bảo chất lượng , nhiều thiết bị hoạt động không tốt như doubledot loa , máy chiếu .",0,general,các thiết_bị giảng_dạy môn_học có_thể không đảm_bảo chất_lượng nhiều thiết_bị hoạt_động không tốt như doubledot loa máy_chiếu
hướng dẫn dễ hiểu .,2,general,hướng_dẫn dễ hiểu
"giáo viên hướng dẫn nhiệt tình , vui vẻ , dễ tính .",2,general,giáo_viên hướng_dẫn nhiệt_tình vui_vẻ dễ_tính
"giảng dạy nhiệt tình , giờ học đúng không đi trễ về sớm .",2,general,giảng_dạy nhiệt_tình giờ học đúng không đi trễ về sớm
giảng viên nên quan tâm nhiều hơn đến mức hiểu bài của sinh viên qua mỗi giờ học bằng cách hỏi những câu hỏi liên quan ở cuối giờ qua đó cộng điểm để tạo thêm sự yêu thích môn học .,0,general,giảng_viên nên quan_tâm nhiều hơn đến mức hiểu bài của sinh_viên qua mỗi giờ học bằng cách hỏi những câu hỏi liên_quan ở cuối giờ qua đó cộng_điểm để tạo thêm sự yêu_thích môn_học
"cô tuy còn trẻ nhưng rất tận tâm với sinh viên , khi sinh viên có vấn đề gì hỏi cô , cô đều giải thích rất kỹ , đôi khi còn nói thêm những vấn đề liên quan .",2,general,cô tuy còn trẻ nhưng rất tận_tâm với sinh_viên khi sinh_viên có vấn_đề gì hỏi cô cô đều giải_thích rất kỹ đôi_khi còn nói thêm những vấn_đề liên_quan
"cô lên lớp đúng giờ , tiết học được chuẩn bị tốt , cô rất thân thiện !",2,general,cô lên_lớp đúng giờ tiết_học được chuẩn_bị tốt cô rất thân_thiện
thầy dạy rất chậm rãi kết hợp với biểu đồ vẽ trên bản đồ giúp sinh viên dễ hiểu hơn .,2,general,thầy dạy rất chậm_rãi kết_hợp với biểu_đồ vẽ trên bản_đồ giúp sinh_viên dễ hiểu hơn
rất hòa đồng .,2,general,rất hòa đồng
thầy dạy hay dễ hiểu .,2,general,thầy dạy hay dễ hiểu
giọng nói truyền cảm .,2,general,giọng nói truyền_cảm
"giảng viên giảng ít , phần lớn tự sinh viên tìm hiêu trên mạng .",0,general,giảng_viên giảng ít phần_lớn tự sinh_viên tìm hiêu trên mạng
nên phân bổ thời gian hợp lý hơn .,0,general,nên phân_bổ thời_gian hợp_lý hơn
"bài tập nhiều , đa dạng .",2,general,bài_tập nhiều đa_dạng
"tận tâm , nhiệt tình , thân thiện , hướng dẫn ân cần , theo sát năng lực học tập của sinh viên .",2,general,tận tâm_nhiệt_tình thân_thiện hướng_dẫn ân_cần theo sát năng_lực học_tập của sinh_viên
giới thiệu những mảng mới cho sinh viên .,2,general,giới_thiệu những mảng mới cho sinh_viên
"đồ án cho sinh viên làm rất mơ hồ , đa số không thể hiểu được giáo viên đang yêu cầu làm gì .",0,general,đồ_án cho sinh_viên làm rất mơ_hồ đa_số không_thể hiểu được giáo_viên đang yêu_cầu làm gì
"bởi chúng em đang đi học , phải học của nhiều môn khác nhau .",1,general,bởi chúng_em đang đi học phải học của nhiều môn khác nhau
"giảng viên nhiệt tình thân thiện , trình độ cao .",2,general,giảng_viên nhiệt_tình thân_thiện trình_độ cao
"giảng viên nhiệt tình , vui vẻ , chịu khó .",2,general,giảng_viên nhiệt_tình vui_vẻ chịu_khó
"thầy rất tận tâm , nhiệt tình .",2,general,thầy rất tận_tâm nhiệt_tình
"giảng quá nhanh với phần bài tập , không nắm bắt được các dạng bài làm nó như thế nào .",0,general,giảng quá nhanh với phần bài_tập không nắm_bắt được các dạng bài làm nó như_thế_nào
cách giảng viên liên kết nội dung bài học với những thông tin mang tính thực tế .,2,general,cách giảng_viên liên_kết nội_dung bài_học với những thông_tin mang tính thực_tế
"giáo trình anh văn chưa phù hợp , gây chán vì nhiều kiến thức đã biết qua rồi .",0,general,giáo_trình anh văn chưa phù_hợp gây chán vì nhiều kiến_thức đã biết qua rồi
cô dễ thương .,2,general,cô dễ_thương
"rất thân thiện , nhiệt tình , quan tâm sinh viên , dạy hay và dễ hiểu .",2,general,rất thân_thiện nhiệt_tình quan_tâm sinh_viên dạy hay và dễ hiểu
"cần có những lớp training cho các bạn yếu , mất căn bản .",0,general,cần có những lớp training cho các bạn yếu mất căn_bản
"mặc dù giảng viên đã có chỉnh đốn nội dung ngay trên lớp , nhưng không có tài liệu về nhà đọc lại thì sao nắm được ?",0,general,mặc_dù giảng_viên đã có chỉnh_đốn nội_dung ngay trên lớp nhưng không có tài_liệu về nhà đọc lại thì sao nắm được
giảng viên có kinh nghiệm .,2,general,giảng_viên có kinh_nghiệm
không có nhiều tài liệu môn học được cung cấp cho sinh viên ngoài slide bài giảng của giảng viên .,0,general,không có nhiều tài_liệu môn_học được cung_cấp cho sinh_viên ngoài slide bài giảng của giảng_viên
chất lượng kiến thức được giáo viên truyền đạt hay .,2,general,chất_lượng kiến_thức được giáo_viên truyền_đạt hay
thầy nên giảng chậm hơn để sinh viên có thể theo kịp bài và cho sinh viên copy slide bài giảng .,0,general,thầy nên giảng chậm hơn để sinh_viên có_thể theo kịp bài và cho sinh_viên copy slide bài giảng
"thầy dạy hay , nhiều kinh nghiệm , có phần demo trực tiếp trên visual studio giúp dễ hiểu .",2,general,thầy dạy hay nhiều kinh_nghiệm có phần demo trực_tiếp trên visual studio giúp dễ hiểu
"nhiệt tình giải đáp thắc mắc của sinh viên , chu đáo , tận tâm , nội dung thực hành chuẩn bị cẩn thận và cần thiết .",2,general,nhiệt_tình giải_đáp thắc_mắc của sinh_viên chu_đáo tận_tâm nội_dung thực_hành chuẩn_bị cẩn_thận và cần_thiết
"cô nhiệt tình , dễ hiểu .",2,general,cô nhiệt_tình dễ hiểu
cần có những tiết học sinh động hơn là để sinh viên ngồi một chỗ và nghe nhưng không hiểu .,0,general,cần có những tiết học_sinh_động hơn là để sinh_viên ngồi một chỗ và nghe nhưng không hiểu
phần học trên mức độ kiến thức còn thấp so với đề thi của trường .,0,general,phần học trên mức_độ kiến_thức còn thấp so với đề_thi của trường
cô dạy dễ hiểu .,2,general,cô dạy dễ hiểu
sự tận tâm của giảng viên .,2,general,sự tận_tâm của giảng_viên
em thích cách dạy của thầy .,2,general,em thích cách dạy của thầy
giảng viên cần cân nhắc trong việc giao việc cho sinh viên .,0,general,giảng_viên cần cân_nhắc trong việc giao việc cho sinh_viên
"phòng học hơi nhỏ , nên nâng cấp .",0,general,phòng học hơi nhỏ nên nâng_cấp
rõ ràng .,2,general,rõ_ràng
"cô dạy rất tâm huyết , nhiệt tình .",2,general,cô dạy rất tâm_huyết nhiệt_tình
"thầy dạy tốt , có nhiều kiến thức chuyên sâu , hỗ trợ rất nhiều cho sinh viên trong khâu nâng cao kiến thức chuyên môn .",2,general,thầy dạy tốt có nhiều kiến_thức chuyên_sâu hỗ_trợ rất nhiều cho sinh_viên trong khâu nâng cao kiến_thức chuyên_môn
"gần gũi , hòa đồng với sinh viên .",2,general,gần_gũi hòa đồng với sinh_viên
"cô rất nhiệt tình khi giảng dạy , kiên nhẫn với sinh viên .",2,general,cô rất nhiệt_tình khi giảng_dạy kiên_nhẫn với sinh_viên
"thật sự là bài tập hơi nhiều thì tốt , nhưng có nhiều bài tương tự nhau .",0,general,thật_sự là bài_tập hơi nhiều thì tốt nhưng có nhiều bài tương_tự nhau
"nhiệt tình , tận tâm với sinh viện .",2,general,nhiệt_tình tận_tâm với sinh_viện
cần thêm một số topic để rèn luyện thêm .,0,general,cần thêm một_số topic để rèn_luyện thêm
sau khi thi kỳ thi cuối kỳ vừa rồi .,1,general,sau khi thi kỳ thi cuối kỳ vừa_rồi
"p fraction s doubledot phía trên là ý kiến em tổng hợp từ em và các bạn học cùng lớp này , có nhiều bạn ngại nói ra , hy vọng trường sẽ không cho giảng viên biết tên của người ghi ý kiến ạ .",1,general,p fraction s doubledot phía trên là ý_kiến em tổng_hợp từ em và các bạn học cùng lớp này có nhiều bạn_ngại nói ra hy_vọng trường sẽ không cho giảng_viên biết tên của người ghi ý_kiến ạ
phòng học cần phù hợp với số lượng sinh viên .,0,general,phòng học cần phù_hợp với số_lượng sinh_viên
đề thi tương đối dài .,0,general,đề thi tương_đối dài
phòng thực hành cần được chuyển qua một phòng lớn hơn .,0,general,phòng thực_hành cần được chuyển qua một phòng lớn hơn
thầy ít cho bài tập về nhà .,0,general,thầy ít cho bài_tập về nhà
nhiệt tình giúp đỡ học sinh .,2,general,nhiệt_tình giúp_đỡ học_sinh
thầy theo chế độ trọng nam khinh nữ doubledot các câu hỏi dành cho nữ nhiều hơn dành cho nam .,0,general,thầy theo chế_độ trọng_nam khinh_nữ doubledot các câu hỏi dành cho nữ nhiều hơn dành cho nam
trình độ giỏi .,2,general,trình_độ giỏi
"thầy dạy nhiệt tình , dễ hiểu , đưa ví dụ bài tập rất thực tế .",2,general,thầy dạy nhiệt_tình dễ hiểu đưa ví_dụ bài_tập rất thực_tế
"giảng bài rất kỹ , và cho nhiều bài tập áp dụng .",2,general,giảng bài rất kỹ và cho nhiều bài_tập áp_dụng
"giáo viên dạy dễ hiểu , dễ tiếp thu .",2,general,giáo_viên dạy dễ hiểu dễ tiếp_thu
"thầy dạy nhiệt tình , cho code mẫu cho các bạn tham khảo .",2,general,thầy dạy nhiệt_tình cho code_mẫu cho các bạn tham_khảo
"nội dung bài học , nội dung ôn tập thi giữa kỳ , cuối kỳ nên được cập nhật trên moodle .",0,general,nội_dung bài_học nội_dung ôn_tập thi giữa kỳ cuối kỳ nên được cập_nhật trên moodle
không thấy thầy lên lớp kể từ khi nghỉ lễ 30 fraction 4 và 1 fraction 5 xong .,0,general,không thấy thầy lên lớp kể từ khi nghỉ lễ 30 fraction 4 và 1 fraction 5 xong
thiếu sự đa dạng về bài tập .,0,general,thiếu sự đa_dạng về bài_tập
thầy nên chuẩn bị trước slide lý thuyết vì mỗi buổi thầy viết lại sẽ mất nhiều thời gian .,0,general,thầy nên chuẩn_bị trước slide lý_thuyết vì mỗi buổi thầy viết lại sẽ mất nhiều thời_gian
vui tánh .,2,general,vui tánh
phân công từng nhóm lên thuyết trình .,1,general,phân_công từng nhóm lên thuyết_trình
đọc slide có thể hiểu nội dung nhưng sau khi thầy giảng lại thì không hiểu tí gì hết .,0,general,đọc slide có_thể hiểu nội_dung nhưng sau khi thầy giảng lại thì không hiểu tí gì hết
"thầy dạy rất tốt , cảm ơn thầy !",2,general,thầy dạy rất tốt cảm_ơn thầy
tận tâm .,2,general,tận tâm
"giảng viên giảng dễ tiếp thu , slide trình bày dễ hiểu , giảng viên nhiệt tình , hài hước .",2,general,giảng_viên giảng dễ tiếp_thu slide trình_bày dễ hiểu giảng_viên nhiệt_tình hài_hước
giáo viên rất nhiệt tình và tận tâm !,2,general,giáo_viên rất nhiệt_tình và tận_tâm
giáo trình môn học chưa cập nhật .,0,general,giáo_trình môn_học chưa cập_nhật
giảng viên giải đề các năm trước .,1,general,giảng_viên giải_đề các năm trước
giảng viên nên đưa ra nhiều ví dụ minh họa hơn .,0,general,giảng_viên nên đưa ra nhiều ví_dụ minh_họa hơn
nên nhiều khi không hiểu thầy đang giảng gì .,0,general,nên nhiều khi không hiểu thầy đang giảng gì
"lên lớp đúng giờ , nhiệt tình .",2,general,lên lớp đúng giờ nhiệt_tình
"hy vọng những giờ thực hành , thay vì đưa ra bài thực hành , thầy hướng dẫn từng bước làm đồ án , môn học hay nhưng thầy truyền đạt không hiểu .",0,general,hy_vọng những giờ thực_hành thay_vì đưa ra bài thực_hành thầy hướng_dẫn từng bước làm đồ_án môn_học hay nhưng thầy truyền_đạt không hiểu
thầy dạy quá hay !,2,general,thầy dạy quá hay
muốn đề thi dễ hơn .,0,general,muốn đề_thi dễ hơn
phương pháp dạy mới tích cực .,2,general,phương_pháp dạy mới tích_cực
"giảng viên nhiệt tình , máu lửa , phương pháp giảng dạy hiện đại .",2,general,giảng_viên nhiệt_tình máu_lửa phương_pháp giảng_dạy hiện_đại
thầy hay nghỉ dạy nhờ giảng viên khác dạy thay do bận việc nhiều .,0,general,thầy hay nghỉ dạy nhờ giảng_viên khác dạy thay do bận việc nhiều
"giáo viên tận tâm , giảng dạy tốt .",2,general,giáo_viên tận_tâm giảng_dạy tốt
"cô vui tính , tận tình .",2,general,cô vui_tính tận_tình
"cô dạy nhiệt tình , dễ hiểu .",2,general,cô dạy nhiệt_tình dễ hiểu
tạo ra sự ganh đua trong mỗi buổi thực hành .,0,general,tạo ra sự ganh_đua trong mỗi buổi thực_hành
khả năng truyền đạt chưa cao .,0,general,khả_năng truyền_đạt chưa cao
"cô rất dễ thương , hiền nữa , cô khá nhiệt huyết .",2,general,cô rất dễ_thương hiền nữa cô khá nhiệt_huyết
luôn bám sát tiến độ làm đồ án của sinh viên .,2,general,luôn bám sát tiến_độ làm đồ_án của sinh_viên
nhiều bài tập .,0,general,nhiều bài_tập
thiếu nghiêm túc trong học tập .,0,general,thiếu nghiêm_túc trong học_tập
thầy cho nhiều bài tập để thực hành .,2,general,thầy cho nhiều bài_tập để thực_hành
sinh viên không có thời gian tiếp xúc cũng như thực hành .,0,general,sinh_viên không có thời_gian tiếp_xúc cũng như thực_hành
giảng viên chưa truyền đạt được kiến thức cần hiểu tới sinh viên .,0,general,giảng_viên chưa truyền_đạt được kiến_thức cần hiểu tới sinh_viên
cô rất tận tâm và nhiệt tình .,2,general,cô rất tận_tâm và nhiệt_tình
đề nghị dạy lập trình c trước hoặc song song với môn học này .,0,general,đề_nghị dạy lập_trình c trước hoặc song_song với môn_học này
buổi chiều nên học lúc 13h30 .,0,general,buổi chiều nên học lúc 13 h30
"ít trang bị kiến thúc ngữ pháp vững vàng cho sinh viên , ít làm bài tập ngữ pháp trên lớp , một buổi học quá nhiều kiến thức không tiếp thu kịp , áp lực , sửa bài tập nhanh dot chỉ nói bằng miệng nên ít ghi chép để nhớ lâu .",0,general,ít trang_bị kiến thúc_ngữ_pháp vững_vàng cho sinh_viên ít làm bài_tập ngữ_pháp trên lớp một buổi học quá nhiều kiến_thức không tiếp_thu kịp áp_lực sửa bài_tập nhanh dot chỉ nói bằng miệng nên ít ghi_chép để nhớ lâu
"dạy vui , nhiệt tình .",2,general,dạy vui nhiệt_tình
cô tuyệt vời !,2,general,cô tuyệt_vời
"thầy dạy nhiệt tình , dạy những kiến thức sát với các kỳ thi .",2,general,thầy dạy nhiệt_tình dạy những kiến_thức sát với các kỳ thi
giống như việc cung cấp cho phép cộng và yêu cầu là giải được bất đẳng thức .,1,general,giống như việc cung_cấp cho_phép cộng và yêu_cầu là giải được bất_đẳng_thức
em thấy học thực hành là tiếp thu nhiều hơn học lý thuyết và thầy dạy rất nhiệt tình .,2,general,em thấy học thực_hành là tiếp_thu nhiều hơn học lý_thuyết và thầy dạy rất nhiệt_tình
"nhiều sinh viên đọc đề không hiểu , vượt xa kiến thức trên lớp .",0,general,nhiều sinh_viên đọc đề không hiểu vượt xa kiến_thức trên lớp
tăng thời gian giảng dạy .,0,general,tăng thời_gian giảng_dạy
một số vấn đề nói chưa rõ như là doubledot một số bài tập khó chưa giải đáp được .,0,general,một_số vấn_đề nói chưa rõ như là doubledot một_số bài_tập khó chưa giải_đáp được
"cô rất nhiệt tình , giảng bài khá hay .",2,general,cô rất nhiệt_tình giảng bài khá hay
"cô dễ thương , vui tính , nhiệt tình , nhiều nhiều nữa .",2,general,cô dễ_thương vui_tính nhiệt_tình nhiều nhiều nữa
"cô rất vui tính , giảng bài tận tình .",2,general,cô rất vui_tính giảng_bài tận_tình
"nên tập trung cho sinh viên vào một phương pháp , một công cụ nào đó để làm bài tập , tránh tình trạng sinh viên không biết đường nào để làm .",0,general,nên tập_trung cho sinh_viên vào một phương_pháp một công_cụ nào đó để làm bài_tập tránh tình_trạng sinh_viên không biết đường nào để làm
giảng viên tận tâm giúp sinh viên học tập .,2,general,giảng_viên tận_tâm giúp sinh_viên học_tập
giảng viên cho nhiều bài tập khó .,0,general,giảng_viên cho nhiều bài_tập khó
em rất thích !,2,general,em rất thích
"cô phát âm chưa tốt , dạy còn chút khô khan , chưa tạo được sự hứng thú học tập cho sinh viên .",0,general,cô phát_âm chưa tốt dạy còn chút khô_khan chưa tạo được sự hứng_thú học_tập cho sinh_viên
đưa ra các bài tập áp dụng .,1,general,đưa ra các bài_tập áp_dụng
"thầy dạy cứng nhắc , buồn ngủ .",0,general,thầy dạy cứng_nhắc buồn ngủ
"cô giảng dạy hay , dễ tiếp thu .",2,general,cô giảng_dạy hay dễ tiếp_thu
cần cài đặt matlab trên các máy ở phòng thực hành .,0,general,cần cài_đặt matlab trên các máy ở phòng thực_hành
"dạy dễ hiểu , hay củng cố lại kiến thức .",2,general,dạy dễ hiểu hay củng_cố lại kiến_thức
giảng còn hơi nhanh .,0,general,giảng còn hơi nhanh
"giảng viên truyền cảm hứng cho sinh viên , nhiệt tình .",2,general,giảng_viên truyền cảm_hứng cho sinh_viên nhiệt_tình
nguyên tắc và tận tình giảng dạy .,2,general,nguyên_tắc và tận_tình giảng_dạy
thường xuyên đặt câu hỏi cho sinh viên trả lời .,2,general,thường_xuyên đặt câu hỏi cho sinh_viên trả_lời
em thích đi học tiết của thầy nhất .,2,general,em thích đi học_tiết của thầy nhất
cung cấp tài liệu cần thiết cho môn học nhiều hơn .,0,general,cung_cấp tài_liệu cần_thiết cho môn_học nhiều hơn
nói chung thầy wzjwz196 dạy toán là tuyệt .,2,general,nói_chung thầy wzjwz196 dạy_toán là tuyệt
bài giảng không lôi cuốn .,0,general,bài giảng không lôi_cuốn
"giảng dạy nhiệt tình , cho bài tập nhiều .",2,general,giảng_dạy nhiệt_tình cho bài_tập nhiều
thầy giảng dạy rất nhiệt tình và chi tiết tường tận cho nhiều ví dụ cụ thể thực tế rất hay .,2,general,thầy giảng_dạy rất nhiệt_tình và chi_tiết tường_tận cho nhiều ví_dụ cụ_thể thực_tế rất hay
