sentence,sentiment,topic
cần cho sinh viên làm hoạt động nhóm nhiều hơn và mở rộng nâng cao kiến thức cho sinh viên nhiều hơn nữa .,0,general
"thầy nhiệt tình , tận tụy , vui vẻ .",2,general
"thầy rất nghiêm khắc , là một người thầy rất giỏi .",2,general
"do học chung với các anh chị khoá 2011 , một phần nhỏ là khoá 2012 , các anh chị quá ồn ào , ồn ào không chịu nổi mặc dù đã nhắc nhở nhiều lần .",0,general
"lý do doubledot vào 2 tuần cuối kỳ , sinh viên phải làm đồ án rất nhiều môn , phải ôn thi .",0,general
"thầy giảng rất nhiệt tình , cặn kẽ .",2,general
giảng viên chưa truyền đạt tốt cho sinh viên và thái độ ban đầu chưa tốt .,0,general
"cô dạy nhiệt tình , kiến thức sâu và rộng , liên hệ thực tiễn cụ thể .",2,general
thầy cung cấp những thông tin rất mới và rất có ích cho sinh viên cả về học tập và làm việc sau này !,2,general
em không có ý kiến gì cả .,1,general
"giảng dạy tốt , nhiệt huyết với sinh viên .",2,general
thầy cho nhiều bài tập .,1,general
cô rất tận tình !,2,general
cảm thấy rất may mắn khi được học thầy .,2,general
thầy giảng dạy nhiệt tình và vui tính .,2,general
"giảng viên quá nhiệt tình , hiểu sinh viên , thương sinh viên .",2,general
"thầy vui tính , dạy dễ hiểu và tận tình .",2,general
"giảng viên nghỉ dạy nhiều buổi , kiến thức truyền đạt cho sinh viên không nhiều .",0,general
có đảm bảo chương trình dạy .,2,general
nâng cao cơ sở vật chất giảng dạy .,0,general
giảng viên nên có kỹ năng sư phạm tốt hơn .,0,general
"cô rất tận tâm , nhiệt huyết , thân thiện , tạo không gian học rất thoải mái .",2,general
"thiếu thông tin , tài liệu về môn học .",0,general
chưa ôn tập được nhiều kiến thức cơ bản của anh văn 1 .,0,general
học sinh yêu cầu giảng lại không giảng lại và bảo về tự xem lại .,0,general
thầy dạy tận tâm .,2,general
"cần giảng viên nói to rõ , làm cho tiết học thêm sôi động , hấp dẫn .",0,general
"cô rất tuyệt , giảng lý thuyết và bài tập siêu kỹ , giải đáp thắc mắc của sinh viên cực nhanh vì chi tiết .",2,general
"cô dạy vui vẻ nhiệt tình , giúp em có hứng học môn anh văn hơn .",2,general
cô rất vui tính .,2,general
"số lượng bài tập tại lớp mỗi buổi khá nhiều , em mong thầy có thể giảm bớt 2 - 3 bài .",0,general
giáo viên giảng dạy kỹ từng phần .,2,general
"cô cũng khuyến khích seminar để tăng khả năng sinh bày của sinh viên , trong quá trình trình bày hoặc xây dựng nội dung trình bày cô luôn tận tình giúp đỡ nếu có khó khăn từ phía sinh viên đó .",2,general
đưa sinh viên đi tham quan thực tế về các doanh nghiệp .,2,general
giao tiếp nhiều hơn .,0,general
"khiến cho chúng em vừa đói lại vừa mệt , kiến thức thầy nói thật đáng để chúng em ghi nhận nhưng đói và mệt thì làm sao chúng em tiếp thu và thực hiện nổi .",0,general
giải thích được rõ vấn đề .,2,general
không có ý kiến gì !,1,general
"thời lượng học lý thuyết của môn học ngắn , dễ bị ảnh hưởng khi giảng viên đến trễ hay tham gia các buổi họp .",0,general
"giảng viên rất tôn trọng sinh viên , hướng dẫn tận tình cho sinh viên cách học và ôn tập cuối kỳ , ngoài ra còn hướng dẫn chi tiết cho sinh viên về đồ án tốt nghiệp .",2,general
"không có sách dạy chi tiết về môn học nên học rất khó hiểu , cần có tài liều hướng dẫn cụ thể chi tiết , mong nhà trường viết thêm sách cho sinh viên .",0,general
"nghỉ học nhiều , vào lớp trễ .",0,general
hi vọng thầy có thể cải thiện kỹ năng truyền đạt hơn .,0,general
sinh viên cần đi học chăm nghe thầy giảng và làm bài tập thầy cho .,2,general
thầy chỉ dạy nhiệt tình những chỗ sinh viên chưa nắm rõ .,2,general
ra bài tập vừa phải thôi và phải chữa bài .,0,general
"dậy nhiệt tình , dễ tính .",2,general
thầy có thể giới thiệu cho bọn em những cuốn sách có nội dung đầy đủ và phù hợp với nội dung của chương trình nhà trường đề ra .,0,general
giảng viên khả năng truyền đạt tốt .,2,general
"giáo viên giảng dạy nhiệt tình , tạo được hứng thú cho sinh viên .",2,general
giảng viên không đưa các bài giảng lên hệ thống courses .,0,general
thầy dạy hơi gây buồn ngủ .,0,general
"thiếu trang bị , dụng cụ thực hành cần thiết , không đáp ứng đủ thời gian giảng dạy do vắng tiết .",0,general
"cô tận tình , nhiệt tình trong công việc .",2,general
thực hành không liên quan gì đến lý thuyết .,0,general
giảng viên nói quá nhanh .,0,general
đề nghị giảng viên sử dụng hiệu quả hơn kênh moodle để nâng cao chất lượng giảng dạy .,0,general
khả năng truyền đạt của giảng viên chưa được tốt .,0,general
thầy rất dễ chịu .,2,general
"thầy nên vui vẻ giải đáp thắc mắc khi học sinh hỏi , bớt càu nhàu .",0,general
"cung cấp cho sinh viên biết được mục đích và công dụng thực tiễn của môn học vào thực tế nghề nghiệp , thêm các ví dụ liên quan tới cách áp dụng môn học vào nghề nghiệp tương lai chứ không dừng ở việc lấy ví dụ cho bài giảng .",2,general
tuy nhiên ai hỏi thì cô trả lời nhiệt tình .,2,general
"giải chi tiết các bài tập , tiếp thu bài rất nhanh trong giờ giảng của thầy .",2,general
cố gắng tạo mọi điều kiện để sinh viên hoạt động nâng cao kỹ năng .,2,general
"cô dạy hơi khó hiểu , phức tạp hóa vấn đề .",0,general
"cần đưa ra nhìu ví dụ , bài tập cộng bài giảng đi theo .",0,general
thầy dạy tận tình .,2,general
"câu văn trong bài giảng khó hiểu , không diễn đạt rõ ràng ý nghĩa .",0,general
"bản thân thầy dạy thực hành mà 3 tuần học liền tương đương 1dot5 tháng mà thầy vẫn không làm được yêu cầu cơ bản của môn học , đó là kết nối oracle trên 2 máy .",0,general
"thầy giảng hơi khó hiểu , thầy cần chủ động mở nhiều cuộc tranh luận với sinh viên .",0,general
giảng hơi nhanh .,0,general
"giáo viên tận tâm , công minh .",2,general
"những đề bài tập của thầy rất hay , rất ấn tượng !",2,general
làm thầy thì có tâm chút đi ạ .,0,general
"có những ví dụ sinh động , dễ hiểu .",2,general
giảng viên có nhiều kinh nghiệm chuyên môn .,2,general
người thậy nhiệt huyết dù học sinh không đi học đầy đủ .,2,general
cô không cung cấp đáp án bài tập trên moodle .,0,general
"cách giảng đôi lúc ( vài buổi ) còn gây buồn ngủ , chưa thu hút ( có thể là do bài giảng nhiều lý thuyết mới ) .",0,general
giảng viên có chuyên môn cao .,2,general
"giảng viên đảm bảo thời gian lên lớp tốt , chấm điểm công bằng .",2,general
"đây là một thực hành và là một môn khó , có số tín chỉ bằng 2 lý thuyết nên giảng viên cần giảng một cách khái quát về bài học trước để sinh viên về nhà có thể tự thực hành , chứ chiếu đề lên và bắt sinh viên làm thì bị trống kiến thức .",0,general
giảng và giải bài quá nhanh .,0,general
giảng dạy tận tình .,2,general
slide chưa đẹp lắm .,0,general
"chưa có nhiều trao đổi , tương tác với sinh viên trên các diễn đàn .",0,general
"các bài tập , ví dụ cần đi liền với thực tiễn công việc sau này chứ không phải là các ví dụ như doubledot viết chương trình số phức , số thực , vẽ tam giác .",0,general
"thiếu các thiết bị chạy hệ điều hành windows phone , ios , android cho sinh viên thực hành .",0,general
"phương pháp giảng dạy tiên tiến , giờ học vui .",2,general
cô sửa bài theo nhiều cách .,2,general
nhiều khi thầy nghỉ không báo trước colonsad .,0,general
thay vì ngồi chờ chấm điểm như đi thi thực hành .,1,general
thầy giảng bài tập chưa hay .,0,general
chuẩn bị bài giảng kỹ càng .,2,general
em phải nói thật thầy dạy hơi buồn ngủ .,0,general
"giảng viên giảng dạy một cách rất khó hiểu , khó tiếp thu và rất dễ ngủ .",0,general
chương trình dạy không đem nhiều lợi ích .,0,general
"cô giảng dạy dễ hiểu , nhiệt tình , luôn trả lời nhiệt tình câu hỏi của sinh viên đặt ra .",2,general
điểm danh học sinh đi học .,1,general
giảng viên có nhiều kinh nghiệm .,2,general
nhiệt tình vui vẻ nói chung ra rất tốt .,2,general
giảng viên nhiệt tình ( và xinh ) .,2,general
hơi cứng nhắc trong vấn đề này .,0,general
cô giáo dạy tiếng anh nói tiếng anh rất nhỏ và khó nghe nếu nói bằng micro hơn nữa cách dạy của cô khiến cho sinh viên không thể nào không buồn ngủ vì nó rất rất nhàm chán .,0,general
thầy nhiệt tình trong giảng dạy .,2,general
có ứng dụng thực tiễn thích hợp !,2,general
giảng viên dạy rất nhiệt tình và rất có tâm .,2,general
thầy dạy hơi nhanh một chút .,0,general
hầu hết là để sinh viên tự làm cũng như giao hoàn toàn cho lớp trưởng .,0,general
giảng viên dạy hơi buồn ngủ .,0,general
"tận tâm , có kế hoạch .",2,general
tệ .,0,general
"dạy nhiệt tình , nhiệt huyết , thân thiện với sinh viên .",2,general
"nhiệt tình , kiến thức rộng , truyền cảm hứng .",2,general
"giảng viên nhiệt tình , giảng thêm kiến thức bên ngoài , cũng như bài tập thêm cho sinh viên mở rộng .",2,general
"thầy dạy vui tính , tận tâm với sinh viên .",2,general
nên giảng cho học sinh kỹ hơn nữa .,0,general
bài tập nên mang tính bắt buộc và cho điểm cộng thì sẽ tạo được động lực cũng như hứng thú cho sinh viên hơn .,0,general
cô cho bài nhiều .,0,general
kiểm tra bài cũ .,0,general
khả năng truyền đạt của giảng viên chưa hiệu quả và có phần khó hiểu .,0,general
"kiến thức giảng viên chưa sâu , chưa dạy đúng trọng tâm , có những phần rất cơ bản nhưng giảng viên chưa nắm vững .",0,general
phần mềm phục vụ cho phần thực hành không được cài đặt đầy đủ trên tất cả các máy tính .,0,general
"giảng viên tích cực hỗ trợ sinh viên , truyền đạt hiệu quả .",2,general
cơ sở vật chất chưa tốt để nghe tiếng anh .,0,general
giảng viên dạy hơi nhanh .,0,general
lớp học của cô wzjwz25 có đặc điểm là trình độ tiếng anh quá chênh lệch giữa cách sinh viên trong cùng một lớp .,0,general
phương pháp dạy không phù hợp .,0,general
hoạt động nhóm quá nhiều dẫn đến mất thời gian .,0,general
thầy nên cung cấp đầy đủ slide để sinh viên có thể học tập dễ dàng hơn .,0,general
thầy giáo lên lớp đúng giờ .,2,general
môn học cần đưa nhiều hơn bài tập để sinh viên có thể nắm bắt các cách xử lý cũng như các cách thực hiện cho một bài giảng .,0,general
không cho sinh viên nhiều kiến thức .,0,general
"giảng viên sử dụng thời gian lên lớp không hiểu quả dẫn đến việc dạy lố giờ , dạy bù quá nhiều .",0,general
giảng viên không giảng mà chỉ đưa slide cho sinh viên tự đọc .,0,general
máy chiếu trong phòng học quá mờ khiến sinh viên không nhìn rõ nội dung khi trình chiếu !,0,general
"dạy hời hợt không tập trung , nhiều vấn đề về kiến thức của sinh viên không giải quyết hoặc chưa đưa ra được cách giải quyết hay .",0,general
"thầy dạy dễ hiểu , gần gũi với sinh viên .",2,general
"không quen với giọng của thầy , có thể vì chưa quen nhanh được , nên đôi lúc hơi khó hiểu .",0,general
rất quan tâm .,2,general
"tụi bạn em nó nói hỏi bài thầy thì mặt thầy có gì đó nghiêm trọng nhưng đối với em có bao giờ chuyện đó xảy ra , thầy nói chuyện rất là thật cái nào thầy chưa biết là thầy nói chưa biết ngay , thầy dạy xuất sắc 1 giáo viên trẻ quá tuyệt vời .",2,general
thường xuyên gửi bài lên mạng .,2,general
giảng bài cần chi tiết và rõ ràng hơn .,0,general
cải thiện chất lượng các phòng máy và kết nối mạng .,0,general
giảng viên chưa đảm bảo được ngày giờ học dẫn tới lớp học chậm và lệch so với giảng viên thực hành .,0,general
"môn này em học cải thiện nhưng mà nhà trường hủy môn em xong đăng tự ý đổi lớp lại , em không biết em không đi học nên chắc chắn em rớt .",0,general
giảng viên truyền đạt được ý hiểu đến sinh viên .,2,general
"thầy có hệ thống lại kiến thức rõ ràng , giúp sinh viên tiếp thu tốt hơn .",2,general
có bám sát chương trình dạy .,1,general
đào tạo thêm về cơ chế giảng dạy .,0,general
thầy giảng dạy đầy đủ không bỏ sót kiến thức .,2,general
tôi rất hài lòng .,2,general
thầy wzjwz245 nói nhỏ .,0,general
mong nhà trường nâng cấp thêm cho phòng máy thực hành .,0,general
và quá gấp gáp .,0,general
"thầy nhiệt tình , giúp đỡ sinh viên hiệu quả .",2,general
chưa đảm bảo giờ lên lớp .,0,general
kiến thức .,1,general
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học .",2,general
"mình cũng ít đi học , nên chả biết lắm , đi được nửa kỳ , thấy dạy chán quá nên thôi .",0,general
"cho học sinh thuyết trình , chủ động .",2,general
"phần pl fraction sql , quản lý , phân quyền .",1,general
chưa nói đến sinh viên tự tra .,0,general
giảng viên cần trau dồi thêm khả năng truyền đạt bài giảng .,0,general
giảng rất nhiệt tình .,2,general
"cô giảng dễ hiểu , đủ nội dung bài học .",2,general
theo em nghĩ là quá nhiều cho 2 tín chỉ .,0,general
luôn cập nhật kiến thức mới .,2,general
thầy giảng hơi khó hiểu .,0,general
thân thiện vui tính .,2,general
"lên lớp đầy đủ , dạy nhiều cái mới .",2,general
"thầy vui tính , nhiệt tình , hay cười .",2,general
cô lên lớp đúng giờ .,2,general
"ứng dụng thực tế vào giảng dạy nhiều , tạo cho sinh viên hình dung việc học tập sẽ làm được gì khi ra trường .",2,general
cách dạy của giáo viên hiệu quả .,2,general
"giảng viên dạy toàn diện các kỹ năng trong tiếng anh , cách dạy linh hoạt , sôi nổi .",2,general
"vui vẻ hòa đồng , tận tâm giảng dạy .",2,general
"có nhiều hoạt động đan xen trong giờ học trên lớp , giúp sinh viên có tinh thần tự giác học tập .",2,general
giáo viên giảng bài làm cho sinh viên hứng thú và dễ tiếp thu .,2,general
"đi học xa quá ạ , mong trường có kế hoạch nào đó cho sinh viên học thể dục bên nhân văn đi bộ cho gần ạ !",0,general
thầy phân tích sâu sắc các vấn đề .,2,general
"giảng viên nên tận tình hơn , giúp sinh viên có cách học tốt hơn .",0,general
rất không hài lòng với năng lực của mình không thể được phát huy .,0,general
ít cho nghe .,0,general
có nhiều bài tập .,1,general
cho nhiều bài tập để rèn luyện .,2,general
thầy nhiệt huyết tận tâm .,2,general
thầy giảng bài .,1,general
điều em hài lòng nhất đó là giảng viên giảng bài rất dễ hiểu và lưu ý được những lỗi thường xảy ra khi làm bài tập .,2,general
nhiều nhóm chưa chuẩn bị kỹ về vấn đề tìm hiểu .,0,general
"thầy dạy rất vui , kiến thức dầy đủ .",2,general
hình thức tạo nhóm không hiệu quả .,0,general
"lý do doubledot "" thầy quên "" .",0,general
khá khó hiểu .,0,general
truyền đạt .,1,general
"thiết kế bài giảng lại , dễ hiểu và cuốn hút hơn .",0,general
"thầy rất nhiệt tình trong việc giảng dạy trên lớp , luôn đến lớp đúng giờ và tận tâm đến từng học sinh để trao đổi về bài tập cũng như thường xuyên cho bài tập rèn luyện thêm .",2,general
cần bám sát đề thi hơn .,0,general
cần cho nhiều dạng bài tập hơn .,0,general
"thầy dạy rất hay và dễ hiểu , hầu như mọi thắc mắc đều không cần hỏi thầy vẫn trả lời .",2,general
"đặc biệt cần thông tin cụ thể về những dụng cụ nào nhà trường phải có trách nhiệm cấp cho sinh viên và giảng viên , ví dụ như có trường hợp bút lông viết bảng xài qua vài học kỳ đã khô hết mực , bút mờ không viết được nhưng giảng viên và sinh viên không biết đến đâu để đổi hay thay bút mới nên dẫn đến có giảng viên đành nói chay , không ghi chép được gì , hoặc phải tự đi mua bút viết bảng mới để viết .",0,general
ôm đồm quá nhiều kỳ vọng .,0,general
cần làm nhiều bài tập hơn là lý thuyết khô cứng khó hiểu dẫn đến nhiều sinh viên hoang mang khi gặp bài tập trong đề thi .,0,general
"dạy hay , đầy đủ .",2,general
cô rất nhiệt tình vui tính !,2,general
"nhiệt tình với sinh viên , bài giảng tốt .",2,general
"cô giảng dạy nhiệt tình , giải đáp thắc mắc cho sinh viên nhanh chóng , kiên nhẫn giải thích cho sinh viên .",2,general
"giảng viên gây hứng thú cho sinh viên với bài giảng của mình , vui vẻ , thân thiện với sinh viên .",2,general
nên có những bài tập nhỏ bám sát với lý thuyết .,0,general
thầy dạy còn hơi buồn ngủ colonsmile .,0,general
"sau đó sinh viên phải đi học bù , gây ra tình trạng trùng giờ cho nhiều sinh viên , mong cô sớm khắc phục .",0,general
"thầy dạy rất tốt , em cho 10 điểm .",2,general
"cô giảng hay , có ví dụ dễ hiểu , có làm mẫu bài tập , nhiệt tình .",2,general
"tài liệu nên cấp một lần trong đầu môn học , tránh trường hợp học rồi mới đưa tài liệu gây khó khăn cho sinh viên .",0,general
nâng cấp hệ thống mạng và máy tính .,0,general
thầy dậy rất nhiệt tình !,2,general
khi gặp vấn đề sinh viên biết được cách sử dụng các phương thức hàm nào .,2,general
không biết cô wzjwz327 là ai ?,1,general
"thầy dạy dễ hiểu , sát với thực tế , gần gũi với sinh viên .",2,general
đươc biết nhiều cái mới lạ .,2,general
tuyệt !,2,general
sau mỗi giờ học cũng có bài tập làm sinh viên rất nản .,0,general
"sau những buổi nghỉ tết hay nghỉ lễ , thầy nên thông báo buổi học trên web môn học để sinh viên có thể đi học đúng buổi .",0,general
"thầy dạy hay , giảng bài dễ hiểu .",2,general
"dạy chậm về kiến thức , chưa hoàn tất chuyển c sang cplusplus .",2,general
"em nghĩ cần có feedback từ phía thầy , hoặc có sự so sánh giữa các bạn trong lớp với nhau .",0,general
thường xuyên nhắc lại nội dung buổi trước khi bắt đầu buổi học .,2,general
"luôn trả lời những thắc mắc của sinh viên , dạy tận tình .",2,general
có nhiều ý tưởng cho tiết học thêm sinh động .,2,general
không đồng bộ kiến thức với giáo viên lý thuyết .,0,general
nội dung kiểm tra cần bao phủ hết nội dung môn học .,0,general
"giảng viên nên kiểm tra sức học của từng bạn sinh viên riêng biệt thay vì kiếm điểm quá trình lấy từ hoạt động của nhóm vì nhóm chỉ có một vài bạn hoạt động còn các bạn còn lại đa số là ăn theo , có bạn ít thậm chí là không hoạt động và nhiều lần kéo điểm của nhóm xuống do các bạn hoat động năng nổ kiếm được .",0,general
"giảng viên không đảm bảo thời gian lên lớp , nghỉ dạy không thông báo trước và thường đến trễ .",0,general
thầy hay nghỉ dạy mà không có thông báo trước nhiều lần .,0,general
bám sát thực tiễn .,2,general
thầy nên cho nhiều bài tập về nhà .,0,general
giảng viên tập trung quá nhiều vào điện thoại trong giờ lên lớp .,0,general
"gần thi không dặn gì , hỏi tới mới trả lời .",0,general
"những bài tập , đồ án thầy đưa ra rất hay và giúp sinh viên rèn luyện kiến thức rất tốt .",2,general
"thầy rất nhiệt tình , giảng bài chi tiết , rất quan tâm đến sinh viên và nói rất nhẹ nhàng .",2,general
trên đây là ý kiến về các vấn đề em nhận ra sau khi học .,1,general
"hy vọng kỳ sau bộ môn anh văn cải tiến phương pháp dạy , và giáo trình , cho sinh viên nghe nói nhiều hơn , đôi khi bảo sinh viên dịch một đoạn để kiểm tra từ vựng , em thấy giáo viên cũng thương cho sinh viên thảo thuận cặp để nói , nhưng thật sự các bạn không biết nói gì , ngoài việc dịch tiếng việt ghép nghĩa tiếng anh !",0,general
nếu như thế thì giáo viên lý thuyết có thể đưa bài thực hành cho sinh viên làm mà không cần đến giảng viên thực hành .,0,general
"thời gian hiệu quả , giảng viên nhiệt tình .",2,general
sử dụng trang web trao đổi thảo luận trong lớp .,1,general
"nên cho thi cuối kỳ bằng hình thức code trên máy , code giấy rất chán và không có tính thực tế !",0,general
"thầy dạy hài hước , tận tâm trước các vấn đề về học tập cũng như việc làm của sinh viên .",2,general
có nhiều bài nói hay .,2,general
thầy dạy kỹ từng phần của bài học giúp em dễ hiểu bài nắm vững kiến thức .,2,general
"giảng viên tận tâm , nhiệt tình , vui tính .",2,general
thầy giảng dạy tận tình .,2,general
"phòng học nhỏ , không đủ máy , không kết nối mạng trong khi đây là phòng thực hành của khoa mạng máy tính .",0,general
hơi khó tính nhưng cái khó tính đó giúp ích cho em rất nhiều !,2,general
"cô dạy kỹ , quan tâm nhiều cho sinh viên .",2,general
"thầy wzjwz310 có cách dạy dành cho những người chủ động và đam mê trong học tập , những người ham học hỏi , tìm hiểu , đam mê ( còn những bạn không có tinh thần hỏi thì sẽ khó học tốt được ) .",2,general
"thầy giảng rất hay , dạy rất nhiệt tình .",2,general
"giảng viên tận tâm , nhiệt tình dạy học , giảng dễ hiểu , vui tính , hiền lành .",2,general
thầy wzjwz289 nên dạy thêm vài môn cho tụi em học .,2,general
phần thực hành môn này còn thiếu các thiết bị thực tế .,0,general
phương pháp giảng dạy .,1,general
"thầy tận tâm , nhiệt tình giảng dạy .",2,general
cung cấp đầy đủ kiến thức và sắp xếp tài liệu gọn gàng giúp cho sinh viên dễ dàng tìm kiếm .,2,general
"thầy dạy tốt , trọng tâm vào bài học .",2,general
"giảng viên tận tâm , nhiệt tình , giảng dạy rất chi tiết nội dung môn học , các ví dụ sinh động , sát thực tế .",2,general
giảng viên đảm bảo giờ lên lớp và giảng dạy .,2,general
"lớp học vui , giảng viên giảng dạy sáng tạo , dễ hiểu .",2,general
"giảng viên nói tiếng anh khá khó nghe , nói nhỏ .",2,general
"cô nên cho nhiều ví dụ hơn , giảng bài chậm hơn ạ !",0,general
cung cấp được nhiều kinh nghiệm hay trong việc học cũng như đi làm sau này .,2,general
không có đề cương cụ thể .,0,general
"thầy cho bài tập và giải chi tiết , giảng dễ hiểu .",2,general
"phòng máy , thiết bị mạng cần được đầu tư và vệ sinh , em thấy phòng máy quá bụi , cửa thì hở nên không mát , dẫn đến điều hòa mất tác dụng , lãng phí .",0,general
"giảng viên tận tâm , nhiệt tình , có nhiều bài tập hay .",2,general
nên để sinh viên được tự vận động áp dụng lý thuyết vào thực hành .,0,general
"cô không gây được hứng thú học cho sinh viên , đặc biệt là đối với môn khó thế này .",0,general
giảng khó hiểu .,0,general
"thầy tận tâm , nhiệt tình , giảng kỹ bài học .",2,general
có nhiều ví dụ minh họa dễ hiểu .,2,general
"dạy nhiệt tình , giỏi .",2,general
thầy dạy hơi khó hiểu .,0,general
"cải thiện thiết bị lớp học doubledot máy chiếu , ổ điện , quạt .",0,general
"vui vẻ , giảng dễ tiếp thu .",2,general
thầy wzjwz251 dạy rất nhiệt tình với sinh viên .,2,general
thầy wzjwz97 dạy quá dở .,0,general
cho học sinh tích cực thuyết trình bằng tiếng anh .,2,general
đem lại nhiều kiến thức qua môn học .,2,general
cô giảng dạy hay truyền đạt được kiến thức đến sinh viên .,2,general
"nhiệt tình , tận tâm , truyền đạt và các ví dụ dễ hiểu .",2,general
"nâng cấp cơ sở vật chất đặc biệt là loa , micro và mạng wifi .",0,general
chép hơi nhiều .,0,general
"đảm bảo giờ dạy trên lớp đầy đủ , đúng giờ , tận tình .",2,general
em nghĩ nên thực hành nói nhiều hơn .,0,general
tốc độ giảng dạy tương đối cao .,0,general
cho các bài tập lớn để sinh viên có thể làm việc nhóm .,0,general
máy tính khó sử dụng .,0,general
giáo viên tận tâm và nhiệt tình giúp đỡ học sinh trong quá trình học tập .,2,general
thầy chưa bao quát được hết lớp nghe giảng .,0,general
"giáo trình lỗi thời , quá hàn lâm , xa với thực tiễn .",0,general
"thầy rất bận , hay quên .",0,general
"sự nhiệt tình trả lời các câu hỏi của sinh viên , tài liệu được cung cấp đầy đủ rõ ràng .",2,general
chưa có nhiều kinh nghiệm trong giảng dạy .,0,general
không đánh giá đúng khả năng của học sinh .,0,general
dạy vui .,2,general
lớp chất lượng cao nhưng lại thiếu thiết bị .,0,general
"đồng ý là làm bài tập nhiều sẽ tăng khả năng hiểu bài , tăng khả năng giải quyết bài toán .",2,general
truyền đạt kinh nghiệm thực tế .,2,general
nắm vững ngữ pháp và nâng cao được kỹ năng viết .,2,general
nếu được phòng thí nghiệm có thể có thêm các thiết bị thật để chạy và phát triển ứng dụng windows phone để các bạn biết điểm khác nhau giữa chạy thiết bị giả lập và thiết bị thật .,0,general
"vui vẻ , tận tình , hoà đồng .",2,general
học được nhiều điều qua cách giảng dạy nhiệt tình của thầy .,2,general
"em rất hài lòng về thầy , thầy rất tận tình giúp đỡ sinh viên , mọi thắc mắc luôn được trả lời đầy đủ .",2,general
thầy dạy chi tiết .,2,general
chép bài trên lớp giúp nhớ bài .,2,general
giảng viên rất vui tính .,2,general
giảng viên có khả năng truyền đạt và phương pháp giảng dạy dễ hiểu .,2,general
giáo viên dạy nhiệt tình quan tâm tới học sinh .,2,general
thay vì kiểm tra trên wecode thì cho làm trên lớp thì hay hơn .,0,general
em chỉ muốn thầy cô dạy nói nhiều hơn để ứng dụng được nhiều hơn .,0,general
thầy cho nhiều bài tập về nhà và có hướng dẫn giải .,2,general
chưa dạy cách để áp dụng môn học vào thực tiễn .,0,general
áp dụng thực tiễn cao !,2,general
"những vấn đề cô nói thường nhanh , dài và khó hiểu .",0,general
"thầy tận tình , giảng dạy hay , có nhiều ví dụ thực tế cho sinh viên dễ hiểu .",2,general
giáo viên giảng bài sinh động dễ tiếp thu .,2,general
cách thức truyền đạt của giáo viên .,1,general
"nhiệt tình , chỉ bảo hết mình .",2,general
thầy rất nhiệt tình với lớp .,2,general
"giáo viên dạy tận tâm , dễ hiểu , vui vẻ !",2,general
thầy rất hiền .,2,general
"nội dung các bài thực hành cần thiết , được thầy thay đổi thích hợp với nội dung học .",2,general
"cách dạy projectbase của thầy khá hay , tuy nhiên sinh viên phải mò rất nhiều mới có thể đạt được như mong muốn .",2,general
"cho thêm bài tập về nhà , tốc độ giảng giải của thầy cần chậm hơn .",0,general
"môn học cần có nhiều bài tập hơn nữa , cần nhiều giáo trình hơn nữa .",0,general
sự tận tình của thầy .,2,general
"thầy dạy hay , tận tình , gần gũi với học sinh .",2,general
cho điểm rẻ .,0,general
rất thân thiện và nhiệt tình .,2,general
tài liệu học tập chưa được cập nhật đầy đủ .,0,general
theo dõi kỹ càng việc thực hành của sinh viên .,2,general
"giáo viên nhiệt tình , vui tính .",2,general
giảng viên rất tận tình trong việc giảng dạy .,2,general
đề nghị nhà trường sửa hoặc bổ sung mới để việc thực hành có hiệu quả .,0,general
"giảng bài với tốc độ nhanh quá , nhiều phần không theo kịp .",0,general
em không thể hình dung được gì từ slide của thầy .,0,general
làm nhóm chỉ nhóm trưởng và lớp trưởng phần công công việc .,1,general
giảng viên không hướng dẫn thực hành đầy đủ .,0,general
giảng viên có tương tác với giáo viên .,2,general
"có một sô bài tập lớn hay , giúp bọn em rất nhiều .",2,general
"giảng viên nhiệt tình , tận tâm .",2,general
nội dung bài học có phần sơ sài .,0,general
em muốn khi học môn này nên cho đồ án để áp dụng nhiều hơn vì em thấy môn này rất hay .,0,general
cảm ơn cô .,1,general
"cập nhật , cập nhật !",1,general
cần giảng viên lên lớp thường xuyên hơn .,0,general
giảng viên nên dạy lại một vài kiến thức trước khi cho thực hành .,0,general
"giảng nhanh , nói nhanh mà không biết rằng sinh viên chưa kịp hiểu được đến vấn đề đó .",0,general
thầy dạy rất nhiệt tình giúp sinh viên .,2,general
"dạy từ cơ bản , theo logic , đến nâng cao .",2,general
giờ học trên lớp chưa thực sự hiệu quả .,0,general
nên giảm bớt số tiết trong một buổi .,0,general
"giảng viên tạo hoạt động cho lớp tốt , nhiệt tình , tiết học thú vị .",2,general
khả năng truyền đạt dễ hiểu giúp sinh viên nắm vững kiến thức .,2,general
giảng viên nói tiếng anh khó nghe .,2,general
còn ít tài liệu tham khảo .,0,general
thầy ít giảng nội dung lý thuyết trên lớp .,0,general
đảm bảo đầy đủ giờ lên lớp truyền đạt đủ kiến thức theo đề cương .,2,general
"cách trình bày ( giọng nói khó nghe ) , diễn đạt kiến thức chưa được tốt .",0,general
"cần nhiều giờ thực hành hơn nữa vì chủ yếu được học lý thuyết , thời gian tiếp xúc thiết bị ít .",0,general
"cô nhiệt tình , dạy dễ hiểu .",2,general
thầy liên hệ thực tiễn nhiều gây hứng thú cho sinh viên .,2,general
